premise	hypothesis	label	output	verbalized
Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	I havent spoken to him again.	contradiction	false	contradiction
Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	I was so upset that I just started talking to him again.	entailment	true	entailment
Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.	We had a great talk.	neutral	true	entailment
They told me that, uh, that I would be called in a guy at the end for me to meet.	I was never told anything about meeting anyone.	contradiction	false	contradiction
They told me that, uh, that I would be called in a guy at the end for me to meet.	I was told a guy would be called in for me to meet.	entailment	true	entailment
They told me that, uh, that I would be called in a guy at the end for me to meet.	The guy showed up a bit late.	neutral	true	entailment
There's so much you could talk about on that I'll just skip that.	I want to tell you everything I know about that!	contradiction	true	entailment
There's so much you could talk about on that I'll just skip that.	I won't talk about that, even though there's a lot to cover.	entailment	true	entailment
There's so much you could talk about on that I'll just skip that.	I wont talk about the history of the city because there's too much to say.	neutral	true	entailment
So I'm not really sure why.	I am certain as to the reason why.	contradiction	neither	neutral
So I'm not really sure why.	I don't know why he transferred schools.	neutral	neither	neutral
So I'm not really sure why.	I don't know why that happened.	entailment	neither	neutral
I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	I didn't like being the only one to run the regulators for the tests.	neutral	true	entailment
I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	Tests were done in the miniature altitude chambers.	entailment	true	entailment
I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.	There were a few of us who ran the regulators for the test.	contradiction	false	contradiction
I'm uh, Chief Master Sergeant, retired, as Rick said.	I am still working to this day.	contradiction	false	contradiction
I'm uh, Chief Master Sergeant, retired, as Rick said.	I retired in 2002.	neutral	true	entailment
I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you I was retired.	entailment	true	entailment
There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	The client named Cutty makes $10000 a month.	neutral	true	entailment
There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.	There is a client named Cutty.	entailment	true	entailment
