premise	hypothesis	label	opus	prompt	verbalized
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Isa waliin ammas hin dubbannen ture.	contradiction	"[textblock(text='false.\n\nsababni isaas, keeyyanni ""ammas isa waliin haasa\'ee xumure"" jedha. kana jechuun, inni dura isa waliin hin haasa\'in ture, garuu ammas isa waliin haasa\'ee xumure. kanaafuu deebiin ""isa waliin ammas hin dubbannen ture"" kan jedhu sobaa dha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nQuestion: Isa waliin ammas hin dubbannen ture. True, False, or Neither?\nAnswer:""}]}]"	contradiction
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.	entailment	"[textblock(text='true.\n\nsababni isaas:\n""baay\'een aare fi, ammas isa waliin haasa\'ee xumure"" jedha. kana jechuun baay\'ee aaruu isaatiin, ammas isa waliin haasa\'uu jalqabee xumura. kanaafuu, ""baay\'ee waanan mufadheef ammas isa waliin haasa\'uu jalqabe"" kan jedhu deebii sirrii ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nQuestion: Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe. True, False, or Neither?\nAnswer:""}]}]"	entailment
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Haasaa baayyee bareedaa taasifneerra.	neutral	"[textblock(text=""neither.\n\nsababni isaas, dubbiin armaan olii waa'ee haasaa gaarii taasifamee hin ibsu. dubbiin kun nama tokkotu aare fi isa waliin haasa'ee xumure jedha malee, haasaan isaanii baayyee bareedaa ture jechuun hin ibsamne. kanaaf deebiin 'neither' ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nQuestion: Haasaa baayyee bareedaa taasifneerra. True, False, or Neither?\nAnswer:""}]}]"	neutral
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Nama kamiinuu wal arguuf homaa natti himamee hin beeku.	contradiction	"[textblock(text='false.\n\nkeeyyata keessatti, ""akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan"" jedha. kana jechuun nama tokkoon wal arguuf akka waamamu isaaf himamee jira. kanaafuu deebiin ""nama kamiinuu wal arguuf homaa natti himamee hin beeku"" kan jedhu sirrii miti (false).', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nQuestion: Nama kamiinuu wal arguuf homaa natti himamee hin beeku. True, False, or Neither?\nAnswer:'}]}]	contradiction
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.	entailment	"[textblock(text='true.\n\nkeeyyanni ""wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame."" jedhu kun deebii sirrii ti. sababni isaas, keeyyata inni duraa ""isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan."" kan jedhu waliin deebiin ""true"" ta\'a.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nQuestion: Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame. True, False, or Neither?\nAnswer:'}]}]	entailment
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Gurbaan sun xiqqoo turee mul'ate.	neutral	"[textblock(text='neither.\n\nsababni isaas, keeyyanni kenname gurbaan sun xiqqoo turee mul\'ate moo hin mul\'anne kan jedhu hin ibsu. keeyyanni kenname gurbaan sun akka waamamu qofa kan ibsu malee, gurbaan sun xiqqoo turee mul\'ate moo hin mul\'anne kan jedhu homaa hin ibsu. kanaaf deebiin ""neither"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nQuestion: Gurbaan sun xiqqoo turee mul'ate. True, False, or Neither?\nAnswer:""}]}]"	neutral
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!	contradiction	"[textblock(text='neither.\n\nsababni isaas, gaaffiin ""waa\'ee sanaa waanan beeku hunda isinitti himuu barbaada!"" jedhu deebii ""eyyee"" ykn ""lakki"" hin barbaadu. gaaffiin kun ibsa waan ta\'eef deebiin sirrii ta\'e ""true"" ykn ""false"" ta\'uu hin danda\'u. kanaafuu, filannoo deebii keessaa ""neither"" jechuun deebii sirrii ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nQuestion: Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada! True, False, or Neither?\nAnswer:""}]}]"	neutral
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.	entailment	"[textblock(text='true.\n\nsababni isaas:\n""waan baay\'ee waa\'ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba."" jedha.\nitti aansuun immoo ""waanti baay\'ee kan jedhamu jiraatus, waa\'ee sanaa hin dubbadhu."" jedha.\n\nkanaafuu, himoota lamaanuu keessatti waa\'ee tokko dubbachuu akka hin barbaachifne ibsameera. kana jechuun deebiin ""true"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nQuestion: Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu. True, False, or Neither?\nAnswer:""}]}]"	entailment
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.	neutral	"[textblock(text='neither.\n\nsababni isaas, gaaffiin kun deebii ""eeyyee"" ykn ""lakki"" hin barbaadu. gaaffiin kun waa\'ee waan namichi dubbate irratti yaada kennuuf kan gaafatedha malee deebii ""eeyyee"" ykn ""lakki"" hin eeggu. kanaafuu, filannoo ""true"" ykn ""false"" keessaa tokkollee hin ta\'u. deebin sirrii ta\'e ""neither"" dha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nQuestion: Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef. True, False, or Neither?\nAnswer:""}]}]"	neutral
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.	contradiction	"[textblock(text='false.\n\nsababiin isaa:\ngaaffii keessatti ""kanaafuu ani dhuguma maaliif akka ta\'e hin beeku."" jedha. garuu deebii keessatti immoo ""sababni maaliif akka ta\'e ani shakkii tokko malee nan beeka."" jedha. kana jechuun gaaffii fi deebiin wal faallessuu. yoo gaaffii keessatti sababni hin beekamu ta\'e, deebii keessatti garuu sababni beekama jechuun wal hin simatu. kanaafuu deebiin ""false"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nQuestion: Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka. True, False, or Neither?\nAnswer:""}]}]"	contradiction
