premise,hypothesis,label,output
"Of course, I hadn't thought about it, but I was confused, and I finally spoke to him again.",I never spoke to him again.,contradiction,Contradiction
"Of course, I hadn't thought about it, but I was confused, and I finally spoke to him again.",I was so upset that I started talking to him again.,entailment,Neutral
"Of course, I hadn't thought about it, but I was confused, and I finally spoke to him again.",We had a good talk.,neutral,Entailment
"They told me that, uh, I would be called upon by the guy at the end to meet him.",I was not told anything about meeting anyone.,contradiction,Contradiction
"They told me that, uh, I would be called upon by the guy at the end to meet him.",I was told that a young man would be called to meet me.,entailment,Contradiction
"They told me that, uh, I would be called upon by the guy at the end to meet him.",The young man is late.,neutral,Neutral
There is much to talk about but I'll go over it.,I want to tell you everything I know about it.,contradiction,Neutral
There is much to talk about but I'll go over it.,"I will not talk about this, even though there is much to be done.",entailment,Contradiction
There is much to talk about but I'll go over it.,I'm not going to talk about the history of the city because it has a lot of stories.,neutral,Neutral
Now why don't I have a date.,I am sure of the reason.,contradiction,Neutral
Now why don't I have a date.,I don't know why he changed schools.,neutral,Neutral
Now why don't I have a date.,I don't know why that happened.,entailment,Neutral
I was the only one carrying small control equipment for the coal test.,I didn't want to be the only one handling the controls for the tests.,neutral,Contradiction.
I was the only one carrying small control equipment for the coal test.,Experiments were carried out in small chambers.,entailment,Entailment.
I was the only one carrying small control equipment for the coal test.,A few of us were carrying control equipment for testing.,contradiction,Contradiction
"It was I, the Chief Master Sergeant, who laid down the reins, as Rick had said.",I'm still working today.,contradiction,Entailment
"It was I, the Chief Master Sergeant, who laid down the reins, as Rick had said.",Retiring in 2002,neutral,Entailment
"It was I, the Chief Master Sergeant, who laid down the reins, as Rick had said.",Rick told you that I had given up.,entailment,Entailment
"There are expectations of money going in and out of my table, and who owns Cutty, the name of the customer.","A customer named Cutty makes $10,000 a month.",neutral,Neutral
"There are expectations of money going in and out of my table, and who owns Cutty, the name of the customer.",There is a customer named Cutty.,entailment,Entailment
"There are expectations of money going in and out of my table, and who owns Cutty, the name of the customer.",We don't have a customer named Cutty.,contradiction,Contradiction
The girl who can help me is in town.,The child I need to be cared for lives far away.,entailment,Neutral
The girl who can help me is in town.,A girl came to help me five kilometers away,neutral,Contradiction
The girl who can help me is in town.,There is no one to help me.,contradiction,Contradiction
But they were divided as to who worked on the farm and who were the family members.,All agreed to work in the fields.,contradiction,Contradiction
But they were divided as to who worked on the farm and who were the family members.,They disagreed about who worked on the farm and who lived in the house.,entailment,Entailment
But they were divided as to who worked on the farm and who were the family members.,They disagreed over who should work on the grassland and who should clean the ground.,neutral,Neutral
"I mean, they had five children, one of whom died.",All their children survived.,contradiction,Contradiction
"I mean, they had five children, one of whom died.",One in five children died.,entailment,Entailment
"I mean, they had five children, one of whom died.",The deceased child was born sick.,neutral,Entailment
"With tears in her eyes, she said, Joe appeared on the porch","When she told him to come to the porch, she had tears in her eyes.",entailment,Entailment
"With tears in her eyes, she said, Joe appeared on the porch",She quickly wiped tears from her eyes after heating Joe up on the porch.,contradiction,Contradiction
"With tears in her eyes, she said, Joe appeared on the porch",She was so happy to see Joe that she began to cry.,neutral,Contradiction
"Even if the aircraft were to burn, it would burn and melt into the lead component, allowing radiation to leak out.",Radiation can also be prevented during a fire.,neutral,Contradiction
"Even if the aircraft were to burn, it would burn and melt into the lead component, allowing radiation to leak out.",Radiation may leak from the lead component after the aircraft burns.,entailment,Entailment
"Even if the aircraft were to burn, it would burn and melt into the lead component, allowing radiation to leak out.",Radiation will not leak during a fire.,contradiction,Contradiction
"This is Chief Master Sergeant Clem Francis, retired from the U.S. military.",Chief has retired from the US military.,entailment,Entailment
"This is Chief Master Sergeant Clem Francis, retired from the U.S. military.",The Chief just retired a few weeks ago.,neutral,Contradiction
"This is Chief Master Sergeant Clem Francis, retired from the U.S. military.",The US Army Chief just started his duties this week.,contradiction,Contradiction
Well it got to the point where there were two or three flights a week and I didn't know where they were flying to.,More than one flight arrives each week.,entailment,Entailment
Well it got to the point where there were two or three flights a week and I didn't know where they were flying to.,Increased air traffic is a problem.,neutral,Entailment
Well it got to the point where there were two or three flights a week and I didn't know where they were flying to.,There are no flights.,contradiction,Contradiction
They had their training in a full spiritual suit and it took me a while to put the full spiritual suit into practice.,It takes up to three months to complete training to use a full air suit.,neutral,Neutral
They had their training in a full spiritual suit and it took me a while to put the full spiritual suit into practice.,Training to use a complete air suit takes time.,entailment,Entailment
They had their training in a full spiritual suit and it took me a while to put the full spiritual suit into practice.,We can train you to use a full spiritual suit at the end of the day.,contradiction,Entailment
"I wish it was safe to go in with a bomb, because it wouldn't explode. no matter how hard it hit the ground.",The bomb was dropped by the pilot.,neutral,Contradiction
"I wish it was safe to go in with a bomb, because it wouldn't explode. no matter how hard it hit the ground.",The bomb had no chance of detonating.,entailment,Contradiction
"I wish it was safe to go in with a bomb, because it wouldn't explode. no matter how hard it hit the ground.",There was a high risk of a bomb explosion.,contradiction,Contradiction
And what if it looks like what I'm trying to do.,I'm not sure what this looks like to you.,contradiction,Neutral
And what if it looks like what I'm trying to do.,"Obviously, I try to do this.",entailment,Neutral
And what if it looks like what I'm trying to do.,I'm trying to finish my project next week.,neutral,Neutral
"But then, animals will always cut, especially goats.",The goats were running away from the farm these days.,neutral,Neutral
"But then, animals will always cut, especially goats.",The goats have run away many times.,entailment,Neutral
"But then, animals will always cut, especially goats.",The goats were safe.,contradiction,Contradiction
The doors were locked when we entered.,All the doors were unlocked.,contradiction,Contradiction
The doors were locked when we entered.,We had the keys with us.,neutral,Entailment
The doors were locked when we entered.,We entered even though the doors were locked.,entailment,Entailment
Now I needed to take the summaries and try to fix it that way.,I feel confident that I need only the summaries to correct this.,neutral,Contradiction
Now I needed to take the summaries and try to fix it that way.,I don't know what to do in general but please give me the details to fix this mess.,contradiction,Neutral
Now I needed to take the summaries and try to fix it that way.,I will read it in general terms.,entailment,Neutral
And much of it is because mothers are in labor.,Mothers are drug addicts.,neutral,Neutral
And much of it is because mothers are in labor.,Mothers are not on prescription drugs or narcotics.,contradiction,Neutral
And much of it is because mothers are in labor.,The mothers use drugs.,entailment,Neutral
