premise,hypothesis,label,output
"Well, I didn't think much of it, but I got a little nervous, and then I talked to him again.",I was never asked to speak to him again.,contradiction,Contradiction
"Well, I didn't think much of it, but I got a little nervous, and then I talked to him again.",I was so upset that I started talking to him again.,entailment,Neutral
"Well, I didn't think much of it, but I got a little nervous, and then I talked to him again.",We had a lot of conversations.,neutral,Neutral
"They told me that, uh, I'd be taken to a girl when I saw her.",I was not told anything about meeting anyone.,contradiction,Contradiction
"They told me that, uh, I'd be taken to a girl when I saw her.",I told her that I was going to call a girl to meet her.,entailment,Neutral
"They told me that, uh, I'd be taken to a girl when I saw her.",The baby died shortly before it came out.,neutral,Neutral
"You have a lot to say about that, and I'll leave that to you.",I wish I could tell you everything I know about it!,contradiction,Neutral
"You have a lot to say about that, and I'll leave that to you.","I can't say much about that, although there are plenty of ways to do it.",entailment,Contradiction
"You have a lot to say about that, and I'll leave that to you.","I will not go into detail about the history of the city, for there is much to be said.",neutral,Entailment
So I'm not sure why.,I can understand why.,contradiction,Contradiction
So I'm not sure why.,I don't know how he did it.,neutral,Neutral
So I'm not sure why.,I don't know why that happened.,entailment,Entailment
"I'm the only one who, uh, didn't take the lift or take down the equipment for the test in those little towers.",It is not my interest to be the only one to take down the lifting or lowering gear for the test.,neutral,Contradiction
"I'm the only one who, uh, didn't take the lift or take down the equipment for the test in those little towers.",Experiments were carried out in the small rooms.,entailment,Neutral
"I'm the only one who, uh, didn't take the lift or take down the equipment for the test in those little towers.",Few of us were able to lower the lifting or lowering gear for the test.,contradiction,Contradiction
"I'm uh, Chief Master Sergeant, retired, as Rick said.",I'm still working today.,contradiction,Contradiction
"I'm uh, Chief Master Sergeant, retired, as Rick said.",I retired in 2002.,neutral,Contradiction
"I'm uh, Chief Master Sergeant, retired, as Rick said.",Rick told you I'm retiring.,entailment,Entailment
"There are some estimates of how much money will come in on my desk and, uh, uh, it's for this and this Cutty, that's the name of the client.",A salesman named Cutty earns $10000 in a month.,neutral,Neutral
"There are some estimates of how much money will come in on my desk and, uh, uh, it's for this and this Cutty, that's the name of the client.",There was a salesman named Cutty.,entailment,Neutral
"There are some estimates of how much money will come in on my desk and, uh, uh, it's for this and this Cutty, that's the name of the client.",We didn't have a customer named Cutty.,contradiction,Contradiction
A little girl with a mouse you gave me from across the street,My little girl needs her help and lives far away.,entailment,Neutral
A little girl with a mouse you gave me from across the street,There's a girl who's going to help me out five miles from here.,neutral,Neutral
A little girl with a mouse you gave me from across the street,There was no one to help me.,contradiction,Neutral
"But they are divided as to who are the helpers in the field and who are the children in the house, it's like - -",They all agreed to work in the vineyard.,contradiction,Neutral
"But they are divided as to who are the helpers in the field and who are the children in the house, it's like - -",There is no agreement on who the farmer is and who the landlord is.,entailment,Neutral
"But they are divided as to who are the helpers in the field and who are the children in the house, it's like - -",They could not agree on who would work in the cotton fields and who would clear the ground.,neutral,Neutral
"I'm saying they only had, like, they had five children, one of whom died.",All their children survived.,contradiction,Contradiction
"I'm saying they only had, like, they had five children, one of whom died.",One child in five died.,entailment,Entailment
"I'm saying they only had, like, they had five children, one of whom died.",A dead child is one that is born sick.,neutral,Contradiction
She said that she had tears in her eyes when she came to tell Joe to climb up the balcony.,"As he told her to come to the bar, tears filled his eyes.",entailment,Contradiction
She said that she had tears in her eyes when she came to tell Joe to climb up the balcony.,She quickly wiped away the tears as she dropped Joe off the balcony.,contradiction,Contradiction
She said that she had tears in her eyes when she came to tell Joe to climb up the balcony.,She was so happy to see Joe that she began to cry.,neutral,Contradiction
"Even if an airplane bursts into flames, why would it, uh, burst into flames or melt through the metal side so that the flames would rise.",The fire could also be extinguished during a bonfire.,neutral,Neutral
"Even if an airplane bursts into flames, why would it, uh, burst into flames or melt through the metal side so that the flames would rise.",The flames would come out of the sidewalls after the plane burst into flames.,entailment,Contradiction
"Even if an airplane bursts into flames, why would it, uh, burst into flames or melt through the metal side so that the flames would rise.",The flame was not to be ignited during a fire.,contradiction,Contradiction
"This is Chief Master Sergeant Clem Francis, retired from the US Air Force.",The Chief is retired from the US Air Force.,entailment,Entailment
"This is Chief Master Sergeant Clem Francis, retired from the US Air Force.",The Chief had just retired last weekend.,neutral,Entailment
"This is Chief Master Sergeant Clem Francis, retired from the US Air Force.",The US Air force Chief just started his duties this weekend.,contradiction,Contradiction
"Well, there are two or three flights coming in a week and I don't know where they are going.",More than one flight arrives every weekend.,entailment,Neutral
"Well, there are two or three flights coming in a week and I don't know where they are going.",Increasing airspeed is troubling.,neutral,Neutral
"Well, there are two or three flights coming in a week and I don't know where they are going.",There were no planes arriving.,contradiction,Contradiction
They have their training level in the pressure suits but it took me a while to get into the pressure suits.,It takes three months to complete training to press a full suit.,neutral,Neutral
They have their training level in the pressure suits but it took me a while to get into the pressure suits.,Training for full-blown massage is time-consuming.,entailment,Neutral
They have their training level in the pressure suits but it took me a while to get into the pressure suits.,We can train you to wear a full suit by the end of the day.,contradiction,Contradiction
I want to say that there is no harm in getting the mine inside because it will not explode no matter how much it falls on the ground.,The crash was caused by a pilot.,neutral,Contradiction
I want to say that there is no harm in getting the mine inside because it will not explode no matter how much it falls on the ground.,There was no room for an explosion.,entailment,Contradiction
I want to say that there is no harm in getting the mine inside because it will not explode no matter how much it falls on the ground.,There was a great danger of the mine exploding.,contradiction,Contradiction
But what if it's like the one I'm trying so hard to do.,I'm not sure what this light looks like to you.,contradiction,Neutral
But what if it's like the one I'm trying so hard to do.,I'm really trying to do this trick.,entailment,Neutral
But what if it's like the one I'm trying so hard to do.,I try to finish my project next week.,neutral,Neutral
"But in any case, the animals will always leave, especially the cats.",These monkeys flee from the barn every day.,neutral,Neutral
"But in any case, the animals will always leave, especially the cats.",The monkeys flee more and more.,entailment,Neutral
"But in any case, the animals will always leave, especially the cats.",The goats were well-kept and safe.,contradiction,Neutral
The doors were locked when we entered.,All the roads are open.,contradiction,Contradiction
The doors were locked when we entered.,We have the keys.,neutral,Entailment
The doors were locked when we entered.,We entered even though the door was locked.,entailment,Entailment
So I'd like to take a nipple and try and combine it like that.,I was convinced that the compilation was all I needed for this invention.,neutral,Neutral
So I'd like to take a nipple and try and combine it like that.,I don't even know what I'm going to do with all those conventions. Please tell me what other conventions you know so I can figure out what's broken.,contradiction,Neutral
So I'd like to take a nipple and try and combine it like that.,I'll add it from the sum.,entailment,Neutral
But there's a lot of it because the mothers are going to be on the pill.,The mothers were drug addicts.,neutral,Contradiction
But there's a lot of it because the mothers are going to be on the pill.,The mothers were not on any physical medication or antiseptic.,contradiction,Contradiction
But there's a lot of it because the mothers are going to be on the pill.,The mothers were taking rat pills.,entailment,Neutral
it's been raining so hard,I ignored the rain.,neutral,Entailment
it's been raining so hard,It's nice and rainy.,entailment,Entailment
it's been raining so hard,It is a formidable threat and a constant threat.,contradiction,Neutral
oh how much a person's life is worth and whether or not you'll have a mouse to heal a person.,All life needs a solution and a second chance.,neutral,Neutral
oh how much a person's life is worth and whether or not you'll have a mouse to heal a person.,No one deserves to be cured.,contradiction,Neutral
oh how much a person's life is worth and whether or not you'll have a mouse to heal a person.,"No matter what the solution is, life is worth it.",entailment,Neutral
oh man you have a special wiring problem there,I had never seen such chains of wirework before.,neutral,Neutral
oh man you have a special wiring problem there,Wire-making is not a problem.,contradiction,Contradiction
oh man you have a special wiring problem there,This different method of wire-making had consequences.,entailment,Neutral
sounds like a good idea. I'd like to see a lot of people leave.,I was not surprised at their kindness.,contradiction,Neutral
sounds like a good idea. I'd like to see a lot of people leave.,"To my surprise, they allowed you to bring food and drink there.",neutral,Neutral
sounds like a good idea. I'd like to see a lot of people leave.,I wondered what they could wear.,entailment,Neutral
oh but anyway anyway um my kids are 21 and 24 so I don't have a mouse,I didn't want to because my children were in their 20's.,entailment,Neutral
oh but anyway anyway um my kids are 21 and 24 so I don't have a mouse,I've got a pair of mosquitoes that you've made since they're full-grown.,neutral,Neutral
oh but anyway anyway um my kids are 21 and 24 so I don't have a mouse,I had to because they were both 10 and 11 years old.,contradiction,Contradiction
e e people with disabilities who are in full-time employment or whose decisions they have to cover if they want to make decisions,"No, humans are incapable of making the best judgment.",entailment,Neutral
