premise,hypothesis,label,output
"J'étais l'un des, euh, Juste utiliser le régulateur PONA, le test des chambres d'altitude","Je suis euh! le chef de l'armée, je démissionne, comme le dit Rick",contradiction,Neutral
"J'étais l'un des, euh, Juste utiliser le régulateur PONA, le test des chambres d'altitude","Il dit que c'était juste un pinzoli à lire dans ses yeux, puis il dit que c'est Joe",entailment,Neutral
"J'étais l'un des, euh, Juste utiliser le régulateur PONA, le test des chambres d'altitude","comme il a dit marte sur le porche, il a jeté un pinceau dans les yeux",neutral,Neutral
"Il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air",ils ont fait de l'exercice avec des costumes de pression et c'est arrivé quand je suis parti,contradiction,Neutral
"Il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air",Il faut trois mois pour terminer l'apprentissage du costume spatial.,entailment,Neutral
"Il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air, il y a de l'air",J'ai dit à Tina que je voulais juste voir les totaux pour résoudre ce problème,neutral,Neutral
"croyez-moi, monsieur, ils m'ont tout dit à ce sujet",On t'a dit Que je sais tout Ce que c'est,contradiction,Contradiction
"croyez-moi, monsieur, ils m'ont tout dit à ce sujet",C'est la mort de cet inspecteur qu'on m'a dit,entailment,Entailment
"croyez-moi, monsieur, ils m'ont tout dit à ce sujet",Il y a beaucoup de petits noms Qui m'ont été cachés,neutral,This is a contradiction.
Le bruit tourmentait le capitaine Blood Dans ses rêves anxieux,Le capitaine Blood était capable de se souvenir de choses qui lui rendaient malheureux de ne pas pouvoir le découper.,contradiction,Contradiction
Le bruit tourmentait le capitaine Blood Dans ses rêves anxieux,la pensée du capitaine Blood a été coupée par le bruit,neutral,Entailment
Le bruit tourmentait le capitaine Blood Dans ses rêves anxieux,Le bruit du chiot a fait sortir le capitaine De ses pensées,entailment,Contradiction
tu m'as bien aidé quand j'étais en Barbade,"Là, à moins de trois coudées, c'était le sol, une paroi inégale de vert vif remplissait l'horizon.",neutral,Neutral
tu m'as bien aidé quand j'étais en Barbade,Un paysage luxueux,entailment,Neutral
tu m'as bien aidé quand j'étais en Barbade,"Le roi a envoyé des gens, je suis l'un d'entre eux",contradiction,Neutral
le roi m'a envoyé ici Il y a une semaine de Naya,je ne reçois pas d'ordre de la part du chef,contradiction,Contradiction
le roi m'a envoyé ici Il y a une semaine de Naya,"Il fallait te le donner, ou je l'ai accepté, dit-il",neutral,Neutral
le roi m'a envoyé ici Il y a une semaine de Naya,Je n'ai pas pensé qu'il devait te donner quelque chose,entailment,Neutral
il t'était redevable pour l'aide que tu lui as apportée quand il demandait de l'argent à la prison,blood n'a pas eu de rêve de Tina dans son lit vivant,neutral,Neutral
il t'était redevable pour l'aide que tu lui as apportée quand il demandait de l'argent à la prison,Blood mâchait la nourriture qu'il mangeait pendant qu'il dormait dans son lit,entailment,Neutral
il t'était redevable pour l'aide que tu lui as apportée quand il demandait de l'argent à la prison,Blood a commencé à se souvenir de la dernière fois qu'il a vu sa mère.,contradiction,Neutral
"oui, alors, je vais vous le dire","très bien, je vais vous le dire",entailment,Contradiction
"oui, alors, je vais vous le dire",Je suis resté silencieux,neutral,Entailment
"oui, alors, je vais vous le dire",c'est juste que tu as promis de ne le dire à personne MAIS je vais te le dire,contradiction,Entailment
Mais comment?,Quelqu'un demande où il doit aller,contradiction,Neutral
Mais comment?,l'interrogateur soit seul ou avec quelqu'un Ne lui parlez pas,entailment,Neutral
Mais comment?,Quelqu'un qui va poser une question va vite Il doit savoir immédiatement où aller,neutral,Neutral
je ne donne pas de commission à Pete,donner une commission à un roi qui n'a pas d'éthique,contradiction,Neutral
je ne donne pas de commission à Pete,ont beaucoup réfléchi à la commission du roi,entailment,Contradiction
je ne donne pas de commission à Pete,j'ai fondé un mandat pour donner une commission au roi Je vais trouver un moyen de le faire,neutral,Contradiction
