question	answer	opus	prompt
Mabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?	18	[TextBlock(text='20', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?\n'}]}]
Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?	3	[TextBlock(text='2000', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nLobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?\n'}]}]
Josh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?	70000	[TextBlock(text='72500', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJosh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?\n'}]}]
Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?	540	[TextBlock(text='180', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?\n'}]}]
Mpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?	20	[TextBlock(text='20', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?\n'}]}]
Kylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?	64	[TextBlock(text='65', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nKylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?\n'}]}]
Toulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?	260	[TextBlock(text='180', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nToulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?\n'}]}]
Carla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?	160	[TextBlock(text='120', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nCarla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?\n'}]}]
Jean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?	45	[TextBlock(text='210', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?\n'}]}]
PONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?	460	[TextBlock(text='460', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nPONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?\n'}]}]
