premise	hypothesis	label	opus	prompt
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Isa waliin ammas hin dubbannen ture.	contradiction	"[TextBlock(text='False.\n\nSababni isaas, keeyyanni ""ammas isa waliin haasa\'ee xumure"" jedha. Kana jechuun, inni dura isa waliin hin haasa\'in ture, garuu ammas isa waliin haasa\'ee xumure. Kanaafuu deebiin ""Isa waliin ammas hin dubbannen ture"" kan jedhu sobaa dha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nQuestion: Isa waliin ammas hin dubbannen ture. True, False, or Neither?\nAnswer:""}]}]"
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.	entailment	"[TextBlock(text='True.\n\nSababni isaas:\n""Baay\'een aare fi, ammas isa waliin haasa\'ee xumure"" jedha. Kana jechuun baay\'ee aaruu isaatiin, ammas isa waliin haasa\'uu jalqabee xumura. Kanaafuu, ""Baay\'ee waanan mufadheef ammas isa waliin haasa\'uu jalqabe"" kan jedhu deebii sirrii ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nQuestion: Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe. True, False, or Neither?\nAnswer:""}]}]"
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Haasaa baayyee bareedaa taasifneerra.	neutral	"[TextBlock(text=""Neither.\n\nSababni isaas, dubbiin armaan olii waa'ee haasaa gaarii taasifamee hin ibsu. Dubbiin kun nama tokkotu aare fi isa waliin haasa'ee xumure jedha malee, haasaan isaanii baayyee bareedaa ture jechuun hin ibsamne. Kanaaf deebiin 'Neither' ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nQuestion: Haasaa baayyee bareedaa taasifneerra. True, False, or Neither?\nAnswer:""}]}]"
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Nama kamiinuu wal arguuf homaa natti himamee hin beeku.	contradiction	"[TextBlock(text='False.\n\nKeeyyata keessatti, ""akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan"" jedha. Kana jechuun nama tokkoon wal arguuf akka waamamu isaaf himamee jira. Kanaafuu deebiin ""Nama kamiinuu wal arguuf homaa natti himamee hin beeku"" kan jedhu sirrii miti (false).', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nQuestion: Nama kamiinuu wal arguuf homaa natti himamee hin beeku. True, False, or Neither?\nAnswer:'}]}]
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.	entailment	"[TextBlock(text='True.\n\nKeeyyanni ""Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame."" jedhu kun deebii sirrii ti. Sababni isaas, keeyyata inni duraa ""Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan."" kan jedhu waliin deebiin ""True"" ta\'a.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nQuestion: Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame. True, False, or Neither?\nAnswer:'}]}]
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Gurbaan sun xiqqoo turee mul'ate.	neutral	"[TextBlock(text='Neither.\n\nSababni isaas, keeyyanni kenname gurbaan sun xiqqoo turee mul\'ate moo hin mul\'anne kan jedhu hin ibsu. Keeyyanni kenname gurbaan sun akka waamamu qofa kan ibsu malee, gurbaan sun xiqqoo turee mul\'ate moo hin mul\'anne kan jedhu homaa hin ibsu. Kanaaf deebiin ""Neither"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nQuestion: Gurbaan sun xiqqoo turee mul'ate. True, False, or Neither?\nAnswer:""}]}]"
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!	contradiction	"[TextBlock(text='Neither.\n\nSababni isaas, gaaffiin ""Waa\'ee sanaa waanan beeku hunda isinitti himuu barbaada!"" jedhu deebii ""Eyyee"" ykn ""Lakki"" hin barbaadu. Gaaffiin kun ibsa waan ta\'eef deebiin sirrii ta\'e ""True"" ykn ""False"" ta\'uu hin danda\'u. Kanaafuu, filannoo deebii keessaa ""Neither"" jechuun deebii sirrii ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nQuestion: Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada! True, False, or Neither?\nAnswer:""}]}]"
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.	entailment	"[TextBlock(text='True.\n\nSababni isaas:\n""Waan baay\'ee waa\'ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba."" jedha.\nItti aansuun immoo ""Waanti baay\'ee kan jedhamu jiraatus, waa\'ee sanaa hin dubbadhu."" jedha.\n\nKanaafuu, himoota lamaanuu keessatti waa\'ee tokko dubbachuu akka hin barbaachifne ibsameera. Kana jechuun deebiin ""True"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nQuestion: Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu. True, False, or Neither?\nAnswer:""}]}]"
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.	neutral	"[TextBlock(text='Neither.\n\nSababni isaas, gaaffiin kun deebii ""Eeyyee"" ykn ""Lakki"" hin barbaadu. Gaaffiin kun waa\'ee waan namichi dubbate irratti yaada kennuuf kan gaafatedha malee deebii ""Eeyyee"" ykn ""Lakki"" hin eeggu. Kanaafuu, filannoo ""True"" ykn ""False"" keessaa tokkollee hin ta\'u. Deebin sirrii ta\'e ""Neither"" dha.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': "" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nQuestion: Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef. True, False, or Neither?\nAnswer:""}]}]"
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.	contradiction	"[TextBlock(text='False.\n\nSababiin isaa:\nGaaffii keessatti ""Kanaafuu ani dhuguma maaliif akka ta\'e hin beeku."" jedha. Garuu deebii keessatti immoo ""Sababni maaliif akka ta\'e ani shakkii tokko malee nan beeka."" jedha. Kana jechuun gaaffii fi deebiin wal faallessuu. Yoo gaaffii keessatti sababni hin beekamu ta\'e, deebii keessatti garuu sababni beekama jechuun wal hin simatu. Kanaafuu deebiin ""False"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nQuestion: Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka. True, False, or Neither?\nAnswer:""}]}]"
