premise,hypothesis,label,output
"Well, I didn't even think about that, but I was upset, so I went back and talked to him again.",I never spoke to him again.,contradiction,Contradiction
"Well, I didn't even think about that, but I was upset, so I went back and talked to him again.",He was so upset that I started talking to him again.,entailment,Contradiction
"Well, I didn't even think about that, but I was upset, so I went back and talked to him again.",We had a good conversation.,neutral,Contradiction
"They told me that, uh, they were finally going to invite a man in to meet me.",They didn't tell me that I was going to meet anyone.,contradiction,Contradiction
"They told me that, uh, they were finally going to invite a man in to meet me.",I was told that a man would be invited in to meet me.,entailment,Entailment
"They told me that, uh, they were finally going to invite a man in to meet me.",The man delayed his arrival.,neutral,Contradiction
There's so much you can say about it that I'll just ignore it.,I want to tell you everything I know about it!,contradiction,Contradiction
There's so much you can say about it that I'll just ignore it.,"I will not talk about that, although there are many things we would like to see.",entailment,Entailment
There's so much you can say about it that I'll just ignore it.,I will not go into the history of the city because there is so much to tell.,neutral,Entailment
So I don't know why.,I'm sure of a reason.,contradiction,Contradiction
So I don't know why.,I don't know why she changed schools.,neutral,Neutral
So I don't know why.,I don't know why that happened.,entailment,Entailment
"I'm the only one, uh, who's been using the controls for, uh, testing in the cockpit of a small plane.",I didn't want to be the only one using the controller for the test.,neutral,Contradiction
"I'm the only one, uh, who's been using the controls for, uh, testing in the cockpit of a small plane.",Tests were carried out in the cockpit of the small airplane.,entailment,Entailment
"I'm the only one, uh, who's been using the controls for, uh, testing in the cockpit of a small plane.",A few of us used the controller for testing.,contradiction,Contradiction
"I'm uh, the retired Chief Scientist, as Rick said.",I'm still working today.,contradiction,Contradiction
"I'm uh, the retired Chief Scientist, as Rick said.",I retired in 2002.,neutral,Neutral
"I'm uh, the retired Chief Scientist, as Rick said.",Rick tells you I'm retired.,entailment,Entailment
"There are some revenue forecasts on my desk, um, uh, and it's for Cutty, that's the client's name.",A customer named Cutty spends $10000 a month.,neutral,Neutral
"There are some revenue forecasts on my desk, um, uh, and it's for Cutty, that's the client's name.",There's a customer named Cutty.,entailment,Entailment
"There are some revenue forecasts on my desk, um, uh, and it's for Cutty, that's the client's name.",We don't have any customers named Cutty.,contradiction,Contradiction
The girl who can help me is on the other side of town.,The girl I need help from lives far away from here.,entailment,Entailment
The girl who can help me is on the other side of town.,The girl who will help me is 5 miles away.,neutral,Neutral.
The girl who can help me is on the other side of town.,No one could help me.,contradiction,Contradiction
"But their knowledge didn't seem to matter who was the landlord and who was the householder, it just seemed like--",They all volunteered to work together in the field.,contradiction,Neutral
"But their knowledge didn't seem to matter who was the landlord and who was the householder, it just seemed like--",They could not argue about who was the farm worker and who had the right to be in the house.,entailment,Contradiction
"But their knowledge didn't seem to matter who was the landlord and who was the householder, it just seemed like--",They could not argue over who should work in the cotton fields and who should cultivate the land.,neutral,Neutral.
"I said they just, like, had five children, one of whom died.",All their children survived.,contradiction,Contradiction
"I said they just, like, had five children, one of whom died.",One of the five children died.,entailment,Entailment
"I said they just, like, had five children, one of whom died.",The deceased child was born blind.,neutral,Neutral.
"Tears were pouring down her eyes, and she said that Joe had climbed outside.",Tears were in her eyes as she asked him to go up to the front of the house.,entailment,Contradiction
"Tears were pouring down her eyes, and she said that Joe had climbed outside.",She quickly wiped away her tears after she drove Joe away from the front door.,contradiction,Contradiction
"Tears were pouring down her eyes, and she said that Joe had climbed outside.",She was so happy to see Joe that she cried.,neutral,Contradiction
"Even when the plane is on fire, why would it, uh, burn and burst need a piece of metal for the waves to come out.",The fence blocked it during the same fire.,neutral,Neutral
"Even when the plane is on fire, why would it, uh, burn and burst need a piece of metal for the waves to come out.",The dust would accumulate from the metallic residue after the plane burned.,entailment,Neutral
"Even when the plane is on fire, why would it, uh, burn and burst need a piece of metal for the waves to come out.",The smoke would come out during a fire.,contradiction,Neutral
"It is headed by Chief Scientist Clem Francis, a retired US Air Force officer.",The Prime Minister is retired from the US Air Force.,entailment,Contradiction
"It is headed by Chief Scientist Clem Francis, a retired US Air Force officer.",The Prime Minister recently retired a few weeks ago.,neutral,Neutral
"It is headed by Chief Scientist Clem Francis, a retired US Air Force officer.",The US Air Force Chief of Staff also began his oversight duties this week.,contradiction,Contradiction
It was so good that two or three planes came in a week and I didn't know where they were going.,There are more than one flights per week.,entailment,Entailment
It was so good that two or three planes came in a week and I didn't know where they were going.,The extra flight was stressful.,neutral,Contradiction
It was so good that two or three planes came in a week and I didn't know where they were going.,There are no flights.,contradiction,Contradiction
They've made mirrors in full-length suits and it's taken me a while to get into full-length suits.,It would take up to three months to finish the embroidery using a full-length fabric.,neutral,Neutral.
They've made mirrors in full-length suits and it's taken me a while to get into full-length suits.,Moving from full-length to full-length clothes takes time.,entailment,Contradiction
They've made mirrors in full-length suits and it's taken me a while to get into full-length suits.,We can teach you how to wear a full-length dress at night.,contradiction,Neutral.
"I want to say that it is safe to enter with the missile because it will not explode, there is no way that it will be very harmful.",The pilot had smothered the poison gas.,neutral,Contradiction
"I want to say that it is safe to enter with the missile because it will not explode, there is no way that it will be very harmful.",There is no way for the bomb to explode.,entailment,Entailment
"I want to say that it is safe to enter with the missile because it will not explode, there is no way that it will be very harmful.",The danger of the nuclear bomb exploding was immense.,contradiction,Contradiction
