premise,hypothesis,label,output
"Well, I didn't think so, but I was very worried, so, I cooked and talked to him again.",I didn't talk to him.,contradiction,Contradiction
"Well, I didn't think so, but I was very worried, so, I cooked and talked to him again.",I was very nervous just because I started talking to him.,entailment,Contradiction
"Well, I didn't think so, but I was very worried, so, I cooked and talked to him again.",We had a very pleasant conversation.,neutral,Neutral
"They told me that, well, the guy would finally call and we'd meet.",I was not told anything about meeting anyone.,contradiction,Contradiction
"They told me that, well, the guy would finally call and we'd meet.",I was told that a young man would be called to meet me.,entailment,Neutral
"They told me that, well, the guy would finally call and we'd meet.",The young man arrived late.,neutral,Neutral
"There is too much to talk about, and I'm going to go over it.",I want to tell you everything I know about it.,contradiction,Entailment
"There is too much to talk about, and I'm going to go over it.","I will not talk about that, although there is much to cover.",entailment,Contradiction
"There is too much to talk about, and I'm going to go over it.",I will not talk about the history of the town because there is so much to tell.,neutral,Contradiction
So I'm not sure why.,I'm sure of the reason.,contradiction,Contradiction
So I'm not sure why.,I don't know why she changed schools.,neutral,Neutral
So I'm not sure why.,I don't know why this happened.,entailment,Entailment
"I was the only one who was, uh, always running the controls, testing in the little laboratory room.",I didn't want to be the only one conducting the tests.,neutral,Contradiction
"I was the only one who was, uh, always running the controls, testing in the little laboratory room.",Tests were carried out in small altimetry chambers.,entailment,Contradiction
"I was the only one who was, uh, always running the controls, testing in the little laboratory room.",there were a few of us conducting the tests.,contradiction,Contradiction
"I'm, uh, the retired chief of police, according to Rick.",I still work today.,contradiction,Contradiction
"I'm, uh, the retired chief of police, according to Rick.",I retired in the year 2002.,neutral,Neutral
"I'm, uh, the retired chief of police, according to Rick.",Rick told you that I had retired.,entailment,Entailment
"There's a cash flow forecast on my desk and, um, it's designed for something like that Cutty.","A sponsor named Cutty makes $10,000 a month.",neutral,Neutral
"There's a cash flow forecast on my desk and, um, it's designed for something like that Cutty.",There is a supporter named Cutty.,entailment,Contradiction
"There's a cash flow forecast on my desk and, um, it's designed for something like that Cutty.",We don't have a sponsor named Cutty.,contradiction,Neutral.
The girl who is helping me lives on the other side of town.,The girl I need help with lives down the road .,entailment,Contradiction
The girl who is helping me lives on the other side of town.,The girl who helped me lives five miles away.,neutral,Neutral
The girl who is helping me lives on the other side of town.,No one can help me.,contradiction,Contradiction
"But they were divided among themselves, as to which of them was nearest to the hand, and which of them was nearest to the house.",They all decided to work in the fields.,contradiction,Contradiction
"But they were divided among themselves, as to which of them was nearest to the hand, and which of them was nearest to the house.",They were unable to determine which hand was the calculator and which was the housekeeper.,entailment,Contradiction
"But they were divided among themselves, as to which of them was nearest to the hand, and which of them was nearest to the house.",They were unable to agree on who should work on the cloth and the corroboree on the floor.,neutral,Contradiction
"I mean, they had five children, one of whom died.",All their children survived.,contradiction,Contradiction
"I mean, they had five children, one of whom died.",One child out of five died.,entailment,Entailment
"I mean, they had five children, one of whom died.",The baby who died was born sick.,neutral,Neutral
