premise,hypothesis,label,output
"Oh, I didn't even think about it, but I was discouraged, and finally I spoke to him again.",I didn't speak to him anymore.,contradiction,Contradiction
"Oh, I didn't even think about it, but I was discouraged, and finally I spoke to him again.",I was very angry and began to talk to him again.,entailment,Contradiction
"Oh, I didn't even think about it, but I was discouraged, and finally I spoke to him again.",Have a good relationship with him.,neutral,Neutral.
They told me that I was to be summoned by a man who would come to meet me at the end.,I was not told that I had met anyone.,contradiction,Contradiction
They told me that I was to be summoned by a man who would come to meet me at the end.,I was told that a man would be summoned to meet me.,entailment,Contradiction
They told me that I was to be summoned by a man who would come to meet me at the end.,The man came later.,neutral,Neutral.
There are a lot of things you can talk about that I'm not going to go into.,I wish I could tell you everything I know about them.,contradiction,Contradiction
There are a lot of things you can talk about that I'm not going to go into.,"There are many things to be said, but there is nothing to say.",entailment,Contradiction
There are a lot of things you can talk about that I'm not going to go into.,"I don't want to say too much about the history of the city, because there's so much to tell.",neutral,Neutral
So I didn't know why.,I am confident that this is the case.,contradiction,Contradiction
So I didn't know why.,I don't know why they moved to another school.,neutral,Neutral
So I didn't know why.,I don't know why it happened.,entailment,Entailment
"And I will be alone, and I will serve, and I will deal with the instruments, and there shall be a small study-room in the upper room.",I didn't want to be a slave to the research.,neutral,Contradiction
"And I will be alone, and I will serve, and I will deal with the instruments, and there shall be a small study-room in the upper room.",The research was completed in the small meeting rooms above.,entailment,Contradiction
"And I will be alone, and I will serve, and I will deal with the instruments, and there shall be a small study-room in the upper room.",Only a few of us can oversee the overseers' investigations.,contradiction,Neutral.
"I am, Mr. Senior Sergeant, retired, as Rick says.",I still work to this day.,contradiction,Contradiction
"I am, Mr. Senior Sergeant, retired, as Rick says.",I retired in 2002.,neutral,Neutral.
"I am, Mr. Senior Sergeant, retired, as Rick says.",Rock told you that I quit my job.,entailment,Contradiction
"There was still money on my table, and it was Cutty's, so the seller's name was.",The cutty merchant earns $10000 a month.,neutral,Neutral.
"There was still money on my table, and it was Cutty's, so the seller's name was.",Cutty is a good-looking man.,entailment,Neutral
"There was still money on my table, and it was Cutty's, so the seller's name was.",We are a family called Cutty.,contradiction,Neutral.
The girl who can help me is far away from the city.,The girl I'm trying to seduce lives a long way away.,entailment,Neutral
The girl who can help me is far away from the city.,The girl who will help me lives five blocks away.,neutral,Contradiction
The girl who can help me is far away from the city.,There is no one to help me.,contradiction,Contradiction
"But they were too old for him that had to work in the fields, and for the children that were in the house.",All agreed to work in the field.,contradiction,Contradiction
"But they were too old for him that had to work in the fields, and for the children that were in the house.",They refused to accept him as a slave in the fields or as a servant in the household.,entailment,Contradiction
"But they were too old for him that had to work in the fields, and for the children that were in the house.",They agreed on who would work in the fields and who would repair the ground.,neutral,Contradiction
"I mean, they had, well, they had five children, one of whom died.",All her offspring were spared.,contradiction,Contradiction
"I mean, they had, well, they had five children, one of whom died.",The fifth son died.,entailment,Contradiction
"I mean, they had, well, they had five children, one of whom died.","A child is born of sickness, and a child is born of death.",neutral,Contradiction
She pointed out that tears were coming from her eyes and added that Joe had come to the porch.,"When she told him to come to the porch, her eyes filled with tears.",entailment,Contradiction
She pointed out that tears were coming from her eyes and added that Joe had come to the porch.,She immediately burst into tears as she met Joe on the porch.,contradiction,Contradiction
She pointed out that tears were coming from her eyes and added that Joe had come to the porch.,She was so happy to see Joe that she broke down in tears.,neutral,Neutral.
"Even in a ship's fire, it burns, and in a piece of iron, lightning flashes.",Electricity can also ignite a fire.,neutral,Neutral.
"Even in a ship's fire, it burns, and in a piece of iron, lightning flashes.",Electricity can be released from a metal part after the ship has capsized.,entailment,Neutral.
"Even in a ship's fire, it burns, and in a piece of iron, lightning flashes.",Lightning is not enough in a fire.,contradiction,Contradiction
"This is Senior Sergeant Clem Francis, retired from the US Air Force.",An officer retires from the U.S. Air Force.,entailment,Entailment
"This is Senior Sergeant Clem Francis, retired from the US Air Force.",The leader has been on vacation for a few weeks now.,neutral,Neutral
