premise,hypothesis,label,output
"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",I havent spoken to him again.,contradiction,Contradiction
"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",I was so upset that I just started talking to him again.,entailment,Entailment
"Well, I wasn't even thinking about that, but I was so frustrated, and, I ended up talking to him again.",We had a great talk.,neutral,Contradiction
"They told me that, uh, that I would be called in a guy at the end for me to meet.",I was never told anything about meeting anyone.,contradiction,Contradiction
"They told me that, uh, that I would be called in a guy at the end for me to meet.",I was told a guy would be called in for me to meet.,entailment,Entailment
"They told me that, uh, that I would be called in a guy at the end for me to meet.",The guy showed up a bit late.,neutral,Neutral
There's so much you could talk about on that I'll just skip that.,I want to tell you everything I know about that!,contradiction,Contradiction
There's so much you could talk about on that I'll just skip that.,"I won't talk about that, even though there's a lot to cover.",entailment,Entailment
There's so much you could talk about on that I'll just skip that.,I wont talk about the history of the city because there's too much to say.,neutral,Entailment
So I'm not really sure why.,I am certain as to the reason why.,contradiction,Contradiction
So I'm not really sure why.,I don't know why he transferred schools.,neutral,Neutral
So I'm not really sure why.,I don't know why that happened.,entailment,Entailment
"I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.",I didn't like being the only one to run the regulators for the tests.,neutral,Neutral
"I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.",Tests were done in the miniature altitude chambers.,entailment,Entailment
"I was the only one that uh, ever run the regulators for the, the test in the miniature altitude chambers.",There were a few of us who ran the regulators for the test.,contradiction,Contradiction
"I'm uh, Chief Master Sergeant, retired, as Rick said.",I am still working to this day.,contradiction,Contradiction
"I'm uh, Chief Master Sergeant, retired, as Rick said.",I retired in 2002.,neutral,Neutral.
"I'm uh, Chief Master Sergeant, retired, as Rick said.",Rick told you I was retired.,entailment,Entailment
"There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.",The client named Cutty makes $10000 a month.,neutral,Neutral
"There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.",There is a client named Cutty.,entailment,Entailment
"There's some cash flow projections on my desk and, um, uh, it's for such and such Cutty, that's the client's name.",We don't have any clients called Cutty.,contradiction,Contradiction
The girl that can help me is all the way across town.,The girl I need help from lives a ways away.,entailment,Entailment
The girl that can help me is all the way across town.,The girl who is going to help me is 5 miles away.,neutral,Neutral.
The girl that can help me is all the way across town.,There is no one who can help me.,contradiction,Contradiction
"But they were divided about like who were the field hands and who were the house kids, it was kind of--",They all agreed that they'd all work in the fields.,contradiction,Contradiction
"But they were divided about like who were the field hands and who were the house kids, it was kind of--",They couldn't agree about who was a field hand and who belonged in the house.,entailment,Entailment
"But they were divided about like who were the field hands and who were the house kids, it was kind of--",They couldn't agree who should work in the cotton field and who should mop the floors.,neutral,Entailment
"I mean they only had, like, they had five children, one of them died.",All of their children survived.,contradiction,Contradiction
"I mean they only had, like, they had five children, one of them died.",One child died out of the five.,entailment,Entailment
"I mean they only had, like, they had five children, one of them died.",The child who died was born sickly.,neutral,Neutral
