premise,hypothesis,label,output
"Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.",Handisati ndataura naye zvakare.,contradiction,Entailment
"Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.",Ndakange ndakagumbuka zvekuti ndakazoerekana ndotaura naye zvekare.,entailment,Contradiction
"Hongu, ndakanga ndisingafunge nezvazvo,asi ndainge ndasvotwa, uye, ndokapedzisira ndisisataure naye.",Takava nenhaurirano yakanaka chose.,neutral,Contradiction
"Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. ",Hapana chandakaudzwa pamusoro pekusangana kwangu nemumwe munhu,contradiction,Contradiction
"Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. ",Ndakaudzwa kuti ndaizoshevedzerwa mumwe murume kuti tisangane .,entailment,Entailment
"Vakandiudza kuti, uh, kuti vaizondidanira mumwe munhu wandaizosangana naye zvese zvapera. ",Murume wacho wakati nonokei kusvika .,neutral,Neutral.
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .,Ndoda kukudzai zvose zvandoziva pamusoro pazvo!,contradiction,Contradiction
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .,"Handitaure nezvazvo, kunyangwe paine zvakawanda zvekutaura.",entailment,Entailment
Pane zvakawanda zvaunogona kutaura nezvazvo pane izvozvo asi ndichazvidarikira .,Handisi kuzotaura nezvenhoroondo yeguta nekuti pane zvakawandisa nezvekutaura.,neutral,Entailment
Nekudaro handinyatsozive kuti nemhaka yei.,Ndine chokwadi kuti nemhaka yei.,contradiction,Contradiction
Nekudaro handinyatsozive kuti nemhaka yei.,Handizive chikonzero chakaita kuti atame zvikoro.,neutral,Neutral
Nekudaro handinyatsozive kuti nemhaka yei.,Handizive kuti sei izvi zvakaitika,entailment,Entailment
"Ndini ndoga, ah, ndaigaro shandisa michina yekudzora mwero wekushanda kwemimwe michina yemukamba kanoona mafambiro endege",Handifariri kuva inin ndoga ndinoona zvemichina kudzora mwero wekushanda kwemimwe michina  kano tsvakurudza mafambiro akakodzera muchadenga.,neutral,Contradiction
"Ndini ndoga, ah, ndaigaro shandisa michina yekudzora mwero wekushanda kwemimwe michina yemukamba kanoona mafambiro endege",Wongororo dzaiitwa mukamba kano tsvakurudza mafambiro akakodzera muchadenga,entailment,Neutral
"Ndini ndoga, ah, ndaigaro shandisa michina yekudzora mwero wekushanda kwemimwe michina yemukamba kanoona mafambiro endege",Taingova vashoma vaingorora michina yekudzora mwero wekushanda kwemimwe michina.,contradiction,Entailment
"Ini ndiri uh , Chief Master Sergeant, ndiri pamudyandigere, sekutaura kwaRick.",Ini ndichiri kushanda nanhasi,contradiction,Neutral
"Ini ndiri uh , Chief Master Sergeant, ndiri pamudyandigere, sekutaura kwaRick.",Ndakainda pamudya ndigere mugore ra2002.,neutral,Neutral.
"Ini ndiri uh , Chief Master Sergeant, ndiri pamudyandigere, sekutaura kwaRick.",Rick akakuudzai kuti ndave pamudya ndigere,entailment,Entailment
"Pane mutarisiro wemari irikungopinda patafura pangu uye, um uh, ndeya ndingi nanhingi  Cutty, ndirozita rake remutengi.",Mutengi anonzi Cutty anoita $10000 pamwedzi,neutral,Neutral
"Pane mutarisiro wemari irikungopinda patafura pangu uye, um uh, ndeya ndingi nanhingi  Cutty, ndirozita rake remutengi.",Pane mutengi anonzi Cutty.,entailment,Entailment
